region,country,province,status,elapsed_s,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,MAPE,Data Start Date
Canada - Quebec,Canada,Quebec,ok,280.9,1.25,-5.075679401577161,1.0,0.1520626379977303,0.1290641413427287,0.1500146345493325,3.184362229445164,5.584517774602898,0.0,2.126438085579606,4.423158737811804,0.496956610750449,2020-03-15
Cyprus,Cyprus,,ok,298.3,0.75,-10.0,1.1325683769651442,0.5,0.0181899028317592,0.0,0.6278142069186761,1.1176005028596432,1.7652365091730422,6.164370311997482,2.134575020823844,2.023306988877211,2020-03-15
Czechia,Czechia,,ok,252.7,0.9026117236918938,-10.0,1.0,0.0943857841368785,0.0442098824984178,0.330933795345988,0.1,2.3563854826462776,0.0,2.280659901824075,3.883998496534311,1.5278687548462522,2020-03-15
Denmark,Denmark,,ok,244.3,1.0311680243060697,-10.0,1.0,0.1781227626854823,0.0675466148515221,0.3832985656627517,0.1,0.4906860176834353,0.0,6.300839387132745,2.2994603117188865,0.5646075940512564,2020-03-15
Dominican Republic,Dominican Republic,,ok,254.1,1.25,10.0,1.0,0.5,0.0551820393388114,0.5,0.1,0.688949113604429,0.0,0.0036925968928227,0.1424669271322438,4.136297227323928,2020-03-15
Estonia,Estonia,,ok,274.2,0.7545879465361635,-9.939804528294298,1.0,0.0787362239461348,0.0373584675485257,0.0027980818674326,0.235468812560181,0.7356115215316761,0.150308831243389,2.206698160042723,3.4081092439241885,1.4442658092958522,2020-03-15
Finland,Finland,,ok,248.5,0.9961346391456872,-8.317764729715261,1.0,0.5,0.0649208641665114,0.5,0.5769790402923765,0.4838272535393743,0.3170031510281672,0.1074899011227879,0.7144124672574751,0.8252582865548941,2020-03-15
Germany,Germany,,ok,241.1,0.75,-10.0,1.0099818313373583,0.0742899675825949,0.0493315103480765,0.0,1.2905340246523995,1.3615460065999818,1.6134774684585114,3.742445128728,0.2703333620675184,0.7380018499640713,2020-03-15
Ireland,Ireland,,ok,292.3,1.25,10.0,2.8512433861380786,0.1393625099110824,0.0756856894699807,0.1183058458269339,0.4277634175760386,0.1163024777784187,2.3093242901195867,5.574800290427901,0.8523308287565884,0.3091420115963849,2020-03-15
Italy,Italy,,ok,226.3,0.8071777128048373,-10.0,1.0,0.2103108954777089,0.143634498832549,0.0,0.1,1.3574603295267704,0.0,0.020271471728778,0.3884760006189672,0.5436021513472771,2020-03-15
Latvia,Latvia,,ok,244.9,0.9353806643103856,-10.0,1.0,0.05,0.0262879066480746,0.0,0.1,2.005079624227374,0.0,0.0,0.3348813480571347,1.7040718800812944,2020-03-15
Liechtenstein,Liechtenstein,,ok,224.6,0.75,-10.0,3.0,0.1295430884679235,0.0124469396008586,0.47914958112397,0.1,2.2864985060668324,0.0,6.86818226023587,0.4467564326201024,0.7603217690333717,2020-03-15
Malaysia,Malaysia,,ok,255.8,1.0012578071314555,-10.0,1.0,0.5,0.0182105853207846,0.5,0.1,0.7617866537317772,0.0,0.622622552078964,1.767454121952916,3.0231617785677,2020-03-15
Monaco,Monaco,,ok,215.7,0.75,-10.0,3.0,0.0912221998664311,0.0416424908123158,0.0,2.278341162253433,2.7070803244185573,1.7466095598200104,3.8911222916784527,2.019096354361438,1.2678756515640868,2020-03-15
New Zealand,New Zealand,,ok,277.2,0.75,-10.0,3.0,0.0799742814480417,0.0154584195018052,0.0,8.143591935371843,0.1,3.374218428509766,2.1681519916651,3.6249813286920656,0.5309046126409103,2020-03-15
Norway,Norway,,ok,301.6,0.75,-10.0,1.1721072205998746,0.0926157827656229,0.0301727313600381,0.1550248282408496,0.2645955540788008,0.6413068137932629,0.0206469816035246,1.0541308284388895,2.353156987741448,0.8348595395032914,2020-03-15
San Marino,San Marino,,ok,270.1,1.0485039407299963,-9.859548626964648,1.000011115161589,0.5,0.083904623505617,0.5,0.1,0.5585483869514211,0.0,3.988540330518776,3.385257164086888,1.4532344945773588,2020-03-15
Spain,Spain,,ok,277.4,0.75,-10.0,1.1435162635187397,0.1833464118151476,0.1457263637008867,0.3527284031576109,5.182699917681403,0.3241867016547846,1.0629077736330903,0.8997801432411294,1.3282402111020015,1.1649557624537603,2020-03-15
Sweden,Sweden,,ok,266.9,1.25,0.3639638279853542,1.0,0.415183235319929,0.1541364059693043,0.2528969692237568,0.1,0.1,0.0,5.779476604963239,3.6851198516901142,3.6495386827862575,2020-03-15
Switzerland,Switzerland,,ok,238.8,0.791701372115908,-7.849791166016659,2.0948006575550897,0.1212913901264865,0.0607024294493331,0.0900433075131908,1.7756323306270263,0.1188857000978287,3.5323087459960987,1.190379378193897,0.3468990414918295,0.4068582552878235,2020-03-15
Thailand,Thailand,,ok,380.2,0.8928320785301386,-8.40564381506183,2.734990123576188,0.1321757199213002,0.0193465922585943,0.1717518425908677,1.7779210823714804,0.8050174455819784,3.065986586252127,3.564541687042101,0.6453842217119549,0.8245735672295411,2020-03-15
Turkey,Turkey,,ok,337.1,1.1125427770117091,-10.0,1.0,0.1721098270326034,0.0429623861479964,0.5,2.4995122625787416,5.377726030803515,4.999999983833039,3.5674773292653126,2.8894140510707413,0.942496112039739,2020-03-15
US - Illinois,US,Illinois,ok,253.7,1.25,4.74516942881661,1.0,0.1147741372745961,0.0980015684563441,0.4999988507310565,4.121131594582328,0.937001059565444,0.0698632491066315,2.8658077975739795,2.496229984080925,0.6083556843953801,2020-03-15
US - Massachusetts,US,Massachusetts,ok,322.0,1.2499711082590623,-2.72788139761806,1.2050155774234066,0.0830653572496517,0.0791736499281858,0.0,0.8972334789783719,1.2005722896778623,1.3875717640206648,7.0,0.9766744972879134,0.1655326991734458,2020-03-15
US - New Hampshire,US,New Hampshire,ok,260.0,1.25,3.842116302901227,1.0,0.05,0.0839803675275459,0.0645206371750771,2.312207143851171,0.247379207203392,0.0016882323166501,2.616211695697611,0.964319591351296,1.2958089808586108,2020-03-15
US - New Jersey,US,New Jersey,ok,292.3,1.0161927799694517,-4.521799881678863,1.0,0.1004173756980883,0.1182666496597142,0.2624000054537974,1.644011830441389,3.398373790052631,3.500683350993456,1.5566417700156634,2.787056856765446,0.6603858712383085,2020-03-15
US - North Dakota,US,North Dakota,ok,249.2,1.25,8.29235862636611,1.0,0.1040984911438729,0.0494388783579764,0.5,0.1000000593132926,1.7199865134311365,0.0200729522067106,5.210355895810895,0.2087365399091435,1.5418274554306994,2020-03-15
US - Pennsylvania,US,Pennsylvania,ok,247.5,1.25,-6.74258990896826,1.0,0.0904642696253452,0.0824690982223768,0.0,9.66892702091447,9.97912110013124,0.5308275992628143,0.7840246560156308,0.9497588536036468,0.7540692612934139,2020-03-15
US - Rhode Island,US,Rhode Island,ok,308.5,1.2499998258461549,2.925088019878937,1.1332995542466566,0.1217880759528806,0.0676788095194815,0.0945969908467592,0.1289122322468209,1.2932529217402269,1.3246832648474895,7.0,0.6186996611256926,0.4416708825223461,2020-03-15
US - South Dakota,US,South Dakota,ok,224.7,1.25,3.832593627854862,1.0,0.0573376484711687,0.0202953472726518,0.3874450375760384,1.92183299675086,2.3724386485465137,0.8942996884685928,0.4395313003169729,0.8347136996350087,1.9686279155478683,2020-03-15
