region,country,province,cap_ratio,eval_days,capped_days,capped_fraction,mean_policy_over_arctan_ratio
Czechia,Czechia,None,0.0,0,0,0.0,0.0
Denmark,Denmark,None,0.0,0,0,0.0,0.0
Djibouti,Djibouti,None,0.0,0,0,0.0,0.0
Dominican Republic,Dominican Republic,None,0.0,0,0,0.0,0.0
Ecuador,Ecuador,None,0.0,0,0,0.0,0.0
Egypt,Egypt,None,0.0,0,0,0.0,0.0
El Salvador,El Salvador,None,0.0,0,0,0.0,0.0
Estonia,Estonia,None,0.0,0,0,0.0,0.0
Ethiopia,Ethiopia,None,0.0,0,0,0.0,0.0
Finland,Finland,None,0.0,0,0,0.0,0.0
France,France,None,0.0,0,0,0.0,0.0
Gabon,Gabon,None,0.0,0,0,0.0,0.0
Georgia,Georgia,None,0.0,0,0,0.0,0.0
Germany,Germany,None,0.0,0,0,0.0,0.0
Ghana,Ghana,None,0.0,0,0,0.0,0.0
Greece,Greece,None,0.0,0,0,0.0,0.0
Guatemala,Guatemala,None,0.0,0,0,0.0,0.0
Guinea,Guinea,None,0.0,0,0,0.0,0.0
Guyana,Guyana,None,0.0,0,0,0.0,0.0
Haiti,Haiti,None,0.0,0,0,0.0,0.0
Honduras,Honduras,None,0.0,0,0,0.0,0.0
Hungary,Hungary,None,0.0,0,0,0.0,0.0
Iceland,Iceland,None,0.0,0,0,0.0,0.0
India,India,None,0.0,0,0,0.0,0.0
Indonesia,Indonesia,None,0.0,0,0,0.0,0.0
Iran,Iran,None,0.0,0,0,0.0,0.0
Iraq,Iraq,None,0.0,0,0,0.0,0.0
Ireland,Ireland,None,0.0,0,0,0.0,0.0
Israel,Israel,None,0.0,0,0,0.0,0.0
Italy,Italy,None,0.0,0,0,0.0,0.0
Jamaica,Jamaica,None,0.0,0,0,0.0,0.0
Japan,Japan,None,0.0,0,0,0.0,0.0
Jordan,Jordan,None,0.0,0,0,0.0,0.0
Kazakhstan,Kazakhstan,None,0.0,0,0,0.0,0.0
Kenya,Kenya,None,0.0,0,0,0.0,0.0
"Korea, South","Korea, South",None,0.0,0,0,0.0,0.0
Kosovo,Kosovo,None,0.0,0,0,0.0,0.0
Kuwait,Kuwait,None,0.0,0,0,0.0,0.0
Latvia,Latvia,None,0.0,0,0,0.0,0.0
Lebanon,Lebanon,None,0.0,0,0,0.0,0.0
Liberia,Liberia,None,0.0,0,0,0.0,0.0
Libya,Libya,None,0.0,0,0,0.0,0.0
Lithuania,Lithuania,None,0.0,0,0,0.0,0.0
Luxembourg,Luxembourg,None,0.0,0,0,0.0,0.0
Madagascar,Madagascar,None,0.0,0,0,0.0,0.0
Malawi,Malawi,None,0.0,0,0,0.0,0.0
Malaysia,Malaysia,None,0.0,0,0,0.0,0.0
Mali,Mali,None,0.0,0,0,0.0,0.0
Malta,Malta,None,0.0,0,0,0.0,0.0
Mauritania,Mauritania,None,0.0,0,0,0.0,0.0
Mauritius,Mauritius,None,0.0,0,0,0.0,0.0
Mexico,Mexico,None,0.0,0,0,0.0,0.0
Moldova,Moldova,None,0.0,0,0,0.0,0.0
Monaco,Monaco,None,0.0,0,0,0.0,0.0
Mongolia,Mongolia,None,0.0,0,0,0.0,0.0
Morocco,Morocco,None,0.0,0,0,0.0,0.0
Mozambique,Mozambique,None,0.0,0,0,0.0,0.0
Namibia,Namibia,None,0.0,0,0,0.0,0.0
Nepal,Nepal,None,0.0,0,0,0.0,0.0
Netherlands,Netherlands,None,0.0,0,0,0.0,0.0
New Zealand,New Zealand,None,0.0,0,0,0.0,0.0
Nicaragua,Nicaragua,None,0.0,0,0,0.0,0.0
Niger,Niger,None,0.0,0,0,0.0,0.0
Nigeria,Nigeria,None,0.0,0,0,0.0,0.0
Norway,Norway,None,0.0,0,0,0.0,0.0
Oman,Oman,None,0.0,0,0,0.0,0.0
Pakistan,Pakistan,None,0.0,0,0,0.0,0.0
Panama,Panama,None,0.0,0,0,0.0,0.0
Paraguay,Paraguay,None,0.0,0,0,0.0,0.0
Peru,Peru,None,0.0,0,0,0.0,0.0
Philippines,Philippines,None,0.0,0,0,0.0,0.0
Poland,Poland,None,0.0,0,0,0.0,0.0
Portugal,Portugal,None,0.0,0,0,0.0,0.0
Qatar,Qatar,None,0.0,0,0,0.0,0.0
Romania,Romania,None,0.0,0,0,0.0,0.0
Russia,Russia,None,0.0,0,0,0.0,0.0
Rwanda,Rwanda,None,0.0,0,0,0.0,0.0
San Marino,San Marino,None,0.0,0,0,0.0,0.0
Saudi Arabia,Saudi Arabia,None,0.0,0,0,0.0,0.0
Senegal,Senegal,None,0.0,0,0,0.0,0.0
Serbia,Serbia,None,0.0,0,0,0.0,0.0
Sierra Leone,Sierra Leone,None,0.0,0,0,0.0,0.0
Singapore,Singapore,None,0.0,0,0,0.0,0.0
Slovakia,Slovakia,None,0.0,0,0,0.0,0.0
Slovenia,Slovenia,None,0.0,0,0,0.0,0.0
Somalia,Somalia,None,0.0,0,0,0.0,0.0
South Africa,South Africa,None,0.0,0,0,0.0,0.0
South Sudan,South Sudan,None,0.0,0,0,0.0,0.0
Spain,Spain,None,0.0,0,0,0.0,0.0
Sri Lanka,Sri Lanka,None,0.0,0,0,0.0,0.0
Sudan,Sudan,None,0.0,0,0,0.0,0.0
Suriname,Suriname,None,0.0,0,0,0.0,0.0
Sweden,Sweden,None,0.0,0,0,0.0,0.0
Switzerland,Switzerland,None,0.0,0,0,0.0,0.0
Tajikistan,Tajikistan,None,0.0,0,0,0.0,0.0
Tanzania,Tanzania,None,0.0,0,0,0.0,0.0
Thailand,Thailand,None,0.0,0,0,0.0,0.0
Togo,Togo,None,0.0,0,0,0.0,0.0
Trinidad and Tobago,Trinidad and Tobago,None,0.0,0,0,0.0,0.0
Tunisia,Tunisia,None,0.0,0,0,0.0,0.0
Turkey,Turkey,None,0.0,0,0,0.0,0.0
Uganda,Uganda,None,0.0,0,0,0.0,0.0
Ukraine,Ukraine,None,0.0,0,0,0.0,0.0
United Arab Emirates,United Arab Emirates,None,0.0,0,0,0.0,0.0
United Kingdom,United Kingdom,None,0.0,0,0,0.0,0.0
Uruguay,Uruguay,None,0.0,0,0,0.0,0.0
US - Alabama,US,Alabama,0.0,0,0,0.0,0.0
US - Alaska,US,Alaska,0.0,0,0,0.0,0.0
US - Arizona,US,Arizona,0.0,0,0,0.0,0.0
US - Arkansas,US,Arkansas,0.0,0,0,0.0,0.0
US - California,US,California,0.0,0,0,0.0,0.0
US - Colorado,US,Colorado,0.0,0,0,0.0,0.0
US - Connecticut,US,Connecticut,0.0,0,0,0.0,0.0
US - Delaware,US,Delaware,0.0,0,0,0.0,0.0
US - District of Columbia,US,District of Columbia,0.0,0,0,0.0,0.0
US - Florida,US,Florida,0.0,0,0,0.0,0.0
US - Georgia,US,Georgia,0.0,0,0,0.0,0.0
US - Hawaii,US,Hawaii,0.0,0,0,0.0,0.0
US - Idaho,US,Idaho,0.0,0,0,0.0,0.0
US - Illinois,US,Illinois,0.0,0,0,0.0,0.0
US - Indiana,US,Indiana,0.0,0,0,0.0,0.0
US - Iowa,US,Iowa,0.0,0,0,0.0,0.0
US - Kansas,US,Kansas,0.0,0,0,0.0,0.0
US - Kentucky,US,Kentucky,0.0,0,0,0.0,0.0
US - Louisiana,US,Louisiana,0.0,0,0,0.0,0.0
US - Maine,US,Maine,0.0,0,0,0.0,0.0
US - Maryland,US,Maryland,0.0,0,0,0.0,0.0
US - Massachusetts,US,Massachusetts,0.0,0,0,0.0,0.0
US - Michigan,US,Michigan,0.0,0,0,0.0,0.0
US - Minnesota,US,Minnesota,0.0,0,0,0.0,0.0
US - Mississippi,US,Mississippi,0.0,0,0,0.0,0.0
US - Missouri,US,Missouri,0.0,0,0,0.0,0.0
US - Montana,US,Montana,0.0,0,0,0.0,0.0
US - Nebraska,US,Nebraska,0.0,0,0,0.0,0.0
US - Nevada,US,Nevada,0.0,0,0,0.0,0.0
US - New Hampshire,US,New Hampshire,0.0,0,0,0.0,0.0
US - New Jersey,US,New Jersey,0.0,0,0,0.0,0.0
US - New Mexico,US,New Mexico,0.0,0,0,0.0,0.0
US - New York,US,New York,0.0,0,0,0.0,0.0
US - North Carolina,US,North Carolina,0.0,0,0,0.0,0.0
US - North Dakota,US,North Dakota,0.0,0,0,0.0,0.0
US - Ohio,US,Ohio,0.0,0,0,0.0,0.0
US - Oklahoma,US,Oklahoma,0.0,0,0,0.0,0.0
US - Oregon,US,Oregon,0.0,0,0,0.0,0.0
US - Pennsylvania,US,Pennsylvania,0.0,0,0,0.0,0.0
US - Rhode Island,US,Rhode Island,0.0,0,0,0.0,0.0
US - South Carolina,US,South Carolina,0.0,0,0,0.0,0.0
US - South Dakota,US,South Dakota,0.0,0,0,0.0,0.0
US - Tennessee,US,Tennessee,0.0,0,0,0.0,0.0
US - Texas,US,Texas,0.0,0,0,0.0,0.0
US - Utah,US,Utah,0.0,0,0,0.0,0.0
US - Vermont,US,Vermont,0.0,0,0,0.0,0.0
US - Virginia,US,Virginia,0.0,0,0,0.0,0.0
US - Washington,US,Washington,0.0,0,0,0.0,0.0
US - West Virginia,US,West Virginia,0.0,0,0,0.0,0.0
US - Wisconsin,US,Wisconsin,0.0,0,0,0.0,0.0
US - Wyoming,US,Wyoming,0.0,0,0,0.0,0.0
Uzbekistan,Uzbekistan,None,0.0,0,0,0.0,0.0
Venezuela,Venezuela,None,0.0,0,0,0.0,0.0
Vietnam,Vietnam,None,0.0,0,0,0.0,0.0
Yemen,Yemen,None,0.0,0,0,0.0,0.0
Zambia,Zambia,None,0.0,0,0,0.0,0.0
Zimbabwe,Zimbabwe,None,0.0,0,0,0.0,0.0
